AttributeId	Description
184	Description of the consolidated or unconsolidated surficial materials which underlie most of the terrain component. These include the types of rockmass from which parent material is derived, and other unconsolidated mineral or organic deposits. The same list of parent materials is used as with the SOTER terrain unit lithology. If the type level of parent material, already indicated at terrain level, does not vary then no further entry has to be made here. A SOTER terrain component property.
185	The texture group of particles <2 mm of the non-consolidated parent material, or the parent material at 2 m if the soil is deeply developed, is given. The  texture triangle shows the different groups.
186	The average depth to consolidated bedrock. For depths less than 2 m the unit is 0.1 m. For depths more than 10 m the depth can be given to the nearest 5 metres.
187	Surface drainage of the terrain component (after Cochrane et al., 1985 and Van Waveren et al., 1987).
188	The depth of the mean ground water level over a number of years as experienced in the terrain component.
189	Give the month (indicated by a number; January is 1, December is 12) during which flooding of the terrain component normally starts
190	The sequence number of the soil within the terrain component according to the ranking of the soil component within the terrain component (the largest soil component is given number 1, the second largest number 2, etc.). Soil components are the lowest level of differentiation of the SOTER units.
191	The number of reference profiles that were considered for the selection of the representative profile is indicated. These profiles have also contributed to the determination of maximum and minimum values for a number of chemical and physical parameters of the soil. A SOTER soil component attribute.
192	The relative position of the soil component within the terrain component.
193	Characterization of the erosion or deposition type according to FAO (1990).
194	The degree in which the soil surface has a tendency to capping and sealing (FAO, 1990).
195	Estimated depth in cm to which root growth is unrestricted by any physical or chemical impediment, such as an impenetrable or toxic layer. Strongly fractured rocks, such as shales, may be considered as rootable. Classes after FAO (1990).
196	"Succinct indication of the relationship between this soil component and adjoining soil components (e.g.: ""Soil component A has formed in colluviated material derived from soil component B"")."
197	The month in which the profile was described and sampled. In case these two activities were carried out in different months, the month of sampling should be taken.
198	The year in which the profile was described and sampled. In case these two activities were carried out in different years, the year of sampling should be taken.
199	Any litter or other organic matter on the surface is described according to thickness (in cm) and degree of decomposition (Soil Survey Staff, 1975).
200	The year of publication of the version of the FAO Legend used for the characterization.
201	The original national or local classification of the profile.
202	Code for the (representative) profile. Any national code is permitted provided it is unique at a national level. An ISO country code should precede the national code.
203	The identification code for the owner, institute or organisation that holds (part of) the national soil profile database. The code consists of an ISO code for the country and a sequence number.
204	The code for the soil laboratory that analyzed the samples: ISO country code followed by a sequence number.
205	Soil taxonomic classification according to the Legend of the Soil Map of the World (FAO-Unesco, Rome)
206	A consecutive number, starting with the surface horizon, allocated to each horizon.
207	Soil horizons that combine a set of properties which are used for identifying soil units are called 'diagnostic horizons'. Since the characteristics of soil horizons are produced by soil-forming processes, the use of diagnostic horizons for separating soil units relates the classification to general principles of soil genesis. Objectivity is secured, however, in that the processes themselves are not used as criteria but only their effects, expressed in terms of quantitatively defined morphological properties that have identification value.
208	Some of the characteristics which are used to separate soil units cannot be considered as horizons. They are diagnostic features of horizons or of soil materials which, when used for classification purposes, need to be quantitatively defined.
209	Size classes for structure elements of various types (Soil Survey Staff, 1951; FAO, 1990).
210	Size of dominant rock or mineral fragments in classes (FAO, 1990)
211	Weight percentage of particles 1.0-2.0 mm in fine earth fraction.
212	Weight percentage of particles 0.5-1.0 mm in fine earth fraction.
213	Weight percentage of particles 0.25-0.5 mm in fine earth fraction.
214	Weight percentage of particles 0.10-0.25 mm in fine earth fraction.
215	Weight percentage of particles 0.05-0.10 mm in fine earth fraction.
216	Weight percentage of particles 0.05-2.0 mm in fine earth fraction. The total sand fraction, either as an absolute value, or as the sum of the sub-fractions.
217	Weight percentage of particles 0.002-0.05 mm in fine earth fraction.
218	The basic infiltration rate.
219	The pH as determined in the supernatant suspension of a 1:x soil-water mixture.
220	The pH as determined in the supernatant suspension of a 1:x soil-1 M KCl mixture.
221	The electrical conductivity of the saturation extract.
222	The soluble Na+ content of the saturated paste.
223	The soluble Ca++ content of the saturated paste.
224	The soluble Mg++ content of the saturated paste.
225	The soluble K+ content of the saturated paste.
226	The soluble Cl- content of the saturated paste.
227	The soluble SO4-- content of the saturated paste.
228	The soluble HCO3- content of the saturated paste.
229	The soluble HCO3- content of the saturated paste.
230	The exchangeable Ca++.
231	The exchangeable Mg++.
232	The exchangeable Na+.
233	The exchangeable K+.
234	The exchangeable Al+++.
235	The exchangeable acidity, as determined in 1N KCl.
236	The cation exchange capacity of the soil at pH 7.0.
237	The content of carbonates.
238	The gypsum content.
239	The content of total organic carbon (for the topsoil first 25 cm, or A horizon, whichever is deeper).
240	The content of total N.
241	The P2O5 content
242	The phosphate retention, usually in %.
243	The Fe fraction, extractable in dithionite.
244	The Fe fraction, extractable in pyrophosphate at pH 10.
245	The Al fraction, extractable in dithionite.
246	The Al fraction, extractable in pyrophosphate at pH 10.
247	The dominant type of mineral in the clay fraction.
248	If two (or more) terrain components are completely similar, then their data will only be entered once in the database. When referring to an already described terrain component data_ID the first terrain component with a particular attribute content will also be used for subsequent identical terrain components. In case a terrain component has not been described before in the database, then its code will also be used as its data code.
249	The reference soil depth of a profile, defined here as the maximum depth to which the profile was described/sampled in the field, or documented in the source database.
250	"Phases are subdivisions of soil units based on characteristics which are significant to the use or management of the land but are not diagnostic for the separation of soil units themselves.
Phases as defined in the 1974 Legend of the FAO-Unesco Soil Map of the World."
251	Reference Soil Group according to the World Reference Base for Soil Resources (FAO, 2006).
252	Version (i.e. year) of the USDA Soil Taxonomy used.
253	"Climate at the site classified according to the Köppen system, which considers precipitation effectiveness for plant growth as the major classification factor, and uses the appropriate seasonal values of temperature and precipitation to determine the limits of climatic groupings.

The Köppen system figures a shorthand code of letters designating major climate groups, subgroups within these major groups, with further subdivisions to distinguish particular seasonal characteristics of temperature and precipitation (adapted from Strahler, 1969 p. 224; Times Atlas, 1993)."
254	Main parent material from which the soil has been formed (after SOTER and FAO/ISRIC (1990, p.14) conventions).
255	"Code for the horizon; whenever possible, the horizon designation should be given according to the terminology of the ""Guidelines for Soil Description"" (FAO, 2006); otherwise, conventions of the national system are maintained."
256	The content of total organic carbon.
257	Electrical conductivity (Ec(x)) for the horizon, for the specified soil:water ratio (that is, x), at 25 °C.
258	Soil reaction measured in water at the specified soil:water ratio.
259	Soil reaction measured in a KCl solution at the specified soil:solution ratio and molarity.
260	Soil reaction measured in CaCl2 solution at the specified soil:solution ratio and molarity.
261	"Exchangeable acidity, the sum of exchangeable Al+++ and H+, obtained with a percolation of a soil sample with a 1 M KCl solution. Exchangeable acidityis measured by titration of the percolate, and exchangeable aluminium is determined separately in the percolate (van Reeuwijk, 2002).
[Note: Values for Exchangeable acidity, determined in 1 M KCl percolate, and extractable acidity, equilibrated with a BaCl2-TEA buffer at pH 8.2, refer to essentially different measurement methods]."
262	The Cation Exchange Capacity (CEC) of the fine earth fraction.
263	Base saturation (BS) calculated as sum of exchangeable cation bases (Ca++, Mg++, K+ and Na+) divided by CEC(soil), times 100%. Analytical method should be specified.
264	Weight percentage of sand. The particle size distribution refers to the fine earth fraction only (< 2 mm). The analytical proccedure and equivalent spherical diameter is defined in the laboratory analytical method.
265	Weight percentage of silt. The particle size distribution refers to the fine earth fraction only (< 2 mm). The analytical proccedure and equivalent spherical diameter is defined in the laboratory analytical method.
266	Weight percentage of clay. The particle size distribution refers to the fine earth fraction only (< 2 mm). The analytical proccedure and equivalent spherical diameter is defined in the laboratory analytical method.
267	Gravel generally represents a visual estimate of the percentage of large rock and mineral fragments - coarse fragments - with a diameter larger than 2 mm. Conversely, when wt% are given for the amount of fragments > 2 mm in the source data, these values have been converted to volume% (see Schoenberger et al. 2002).
268	The conditions from which the profile locations were derived; it is indicative for the accuracy of the profile location
269	"Parent material is defined as the unconsolidated mineral or organic material from which the true soil develops.
Parent rock is defined as the rock mass from which parent material is derived."
270	Mode of accumulation or deposition of parent material.
271	Texture of parent material.
272	General characterization of the weathering status of solid rock.
273	Resistance to weathering (solid rock only).
274	Estimated run off
275	Nature of flood water
276	The abundance of pores is recorded as the number per unit area in a square decimetre.
277	Continuity of pores (for tubular pores).
278	Weight percentage of particles 50-1000 μm in the fine earth fraction
279	Weight percentage of particles 20-2000 μm in the fine earth fraction
280	Weight percentage of particles 0.001-0.05 mm in fine earth fraction.
281	Weight percentage of particles 0.005-0.05 mm in fine earth fraction.
282	Weight percentage of particles < 1 μm in the fine earth fraction (particles < 2000 μm)
283	Weight percentage of particles < 5 μm in the fine earth fraction (particles < 2000 μm)
284	From 200nm-500nm
